county,month,ndvi_mean,state,week,year
Fort Bend,1.0,0.260584523948348,Texas,1.0,2023
Waller,1.0,0.260597991033184,Texas,1.0,2023
Galveston,1.0,-0.0231441918129318,Texas,1.0,2023
Harris,1.0,0.203868479636343,Texas,1.0,2023
Montgomery,1.0,0.307978716223963,Texas,1.0,2023
Liberty,1.0,0.299253661453902,Texas,1.0,2023
Chambers,1.0,0.107434380249843,Texas,1.0,2023
Brazoria,1.0,0.208493220519896,Texas,1.0,2023
Austin,1.0,0.264593383081081,Texas,1.0,2023
Walker,1.0,0.29309762569228,Texas,1.0,2023
Trinity,1.0,0.298397020397311,Texas,1.0,2023
Menard,1.0,0.21440787357461,Texas,1.0,2023
Gonzales,1.0,0.270100554120324,Texas,1.0,2023
Refugio,1.0,0.208563988261966,Texas,1.0,2023
Jim Hogg,1.0,0.308968256611152,Texas,1.0,2023
Dimmit,1.0,0.242446783589964,Texas,1.0,2023
Schleicher,1.0,0.231051461974514,Texas,1.0,2023
Delta,1.0,0.27209340063114,Texas,1.0,2023
Zavala,1.0,0.250676969044091,Texas,1.0,2023
Eastland,1.0,0.169577858733914,Texas,1.0,2023
DeWitt,1.0,0.26393243524884,Texas,1.0,2023
Leon,1.0,0.234757205612994,Texas,1.0,2023
Stonewall,1.0,0.148339207273839,Texas,1.0,2023
McMullen,1.0,0.286699825834458,Texas,1.0,2023
Sutton,1.0,0.254591626769156,Texas,1.0,2023
Kinney,1.0,0.237532325028385,Texas,1.0,2023
Fayette,1.0,0.265223439828062,Texas,1.0,2023
Briscoe,1.0,0.199352706849216,Texas,1.0,2023
Reagan,1.0,0.19641866979634,Texas,1.0,2023
Coleman,1.0,0.208298609492597,Texas,1.0,2023
Ochiltree,1.0,0.164361576764586,Texas,1.0,2023
Crane,1.0,0.168304690356707,Texas,1.0,2023
Mills,1.0,0.186081608977297,Texas,1.0,2023
Sabine,1.0,0.303473566192833,Texas,1.0,2023
Houston,1.0,0.266619639863553,Texas,1.0,2023
Upton,1.0,0.179473359587498,Texas,1.0,2023
Jack,1.0,0.198496937677056,Texas,1.0,2023
Hemphill,1.0,0.165241096922647,Texas,1.0,2023
Shackelford,1.0,0.190787234049561,Texas,1.0,2023
San Jacinto,1.0,0.302452636648986,Texas,1.0,2023
Floyd,1.0,0.224666381266639,Texas,1.0,2023
